# aut kill-criterion ledger — phase 0 (READ-ONLY run) — generated 2026-07-05T22:55:04.638654
cohort	class	slot_count	aut_order	orbit_count	nontrivial_orbits	substitution_hits	observations	verdict	surfaces
definition_bearing	Code_Repository	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Codified_Process	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Collection_Category	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Computed_Attribute	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Config_File	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Configurator	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Context_Engineering_Lib	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Debug_Diary_Entry	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Design	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Dispatch	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Domain	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Ews	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Ews_Abstraction	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Ews_Semantics	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Embodiment_Claim	4	1	4	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Event	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Example_Reference	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Flight_Config	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Fractal_Pattern	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Fractal_Stage	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Giint_Component	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Giint_Deliverable	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Giint_Feature	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Giint_Project	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Giint_Task	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Goal	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Grounded_Lattice	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Hallucination	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Hermes_Config	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Hook	4	1	4	0	0	0	TRIVIAL_AUT	graph
definition_bearing	Hypercluster	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Idea	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Inclusion_Map	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Interaction_Loop	8	1	8	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Llm_Agent	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Maker	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Memory_Tier	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Meta_Stack	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Mission	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Navy_Fleet	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Navy_Squadron	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Navy_Starship	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Observation	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Ontology_Engineer	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Pio_Entity	3	1	3	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Pattern_Lattice	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Persona	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Plan	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Potential_Solution	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Programmed_Process	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Prolog_Mi	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Prolog_Rule	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Renderable_Piece	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Repository	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Soma	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Sanctum_Boundary	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Sanctum_Goal	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Sanctum_Ritual	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Sdna_Flow	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Sdna_Flowchain	3	1	3	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Sdna_Session	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Sdnac	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Seed_Ship	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Skill	26	1	26	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Skill_Spec	12	1	12	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Slash_Command	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Source	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starlog	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starlog_Project	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starlog_Session	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starship_Pilot	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starsystem	9	1	9	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Starsystem_Collection	12	1	12	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Strong_Compression_Pattern	5	1	5	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Twilite	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Twilitelang	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Template_Attribute	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Template_Method	6	1	6	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Template_Sequence	1	1	1	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Templated_Class	3	1	3	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Uarl_Ontology	5	1	5	0	0	0	TRIVIAL_AUT	graph+owl
definition_bearing	Validated_Lattice	2	1	2	0	0	0	TRIVIAL_AUT	owl
definition_bearing	Youknow	7	1	7	0	0	0	TRIVIAL_AUT	graph+owl
